Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Hazouri, Shatia","907 North Van Horn Ln, West Greene AL, 35491",3,79.4,69.6,81.3,100,100,57.2,79.3,83.9,85.2,72.2,90.7,70.7,57.9,93.2,81.1,100,96.0,81.6,96.6,53.7,100,100,100,88.2,81.3,47.0,51.9
"Crace, Samanthan","238 Stoneybrook Ave, Wichita KS, 67223",9,69.4,100,79.2,70.3,49.1,74.5,84.0,75.6,77.2,96.8,85.8,100,65.3,100,100,85.9,100,72.3,98.9,56.9,87.2,100.0,78.9,64.2,64.8,100,68.7
"Ayers, Callie","275 Rausch St, Smithburg WV, 26436",6,56.8,98.4,76.2,84.0,79.1,83.9,45.7,67.3,100,96.8,88.1,76.3,100,73.2,26.1,100,100,100,100,67.9,54.2,100,100,100,69.8,70.6,100
"Surwillo, Jehna","933 Regent St, Campbell AL, 36727",8,75.3,79.9,29.1,59.2,100,63.5,89.7,100,32.6,47.6,59.7,60.9,94.7,100,55.3,66.5,87.7,60.6,55.2,85.9,100.0,68.9,83.0,76.1,100,100,25.7
"Mandez, Tavon","424 Jarboe Ave, Hickory PA, 15340",6,69.8,55.0,81.0,55.2,84.5,100,75.7,84.9,64.0,55.5,81.6,,45.6,49.0,92.9,70.7,100,88.7,77.7,94.9,95.8,64.2,67.4,95.2,89.3,100,36.2
"Guidrey, III, Corinn","160 Owen St, Valencia CA, 91354",5,100,51.0,42.2,73.3,75.8,71.6,90.8,56.9,82.4,82.7,96.2,54.4,100,61.3,100,68.7,40.1,71.4,89.8,49.4,100,60.8,34.5,91.3,97.5,95.4,100
"Decenzo, Jsoeph","503 Langdon Ct, Oakland MI, 48363",10,38.5,62.2,76.4,13.8,50.2,100,70.4,52.3,38.9,82.4,84.5,83.4,72.9,94.2,41.9,98.2,89.5,93.7,66.3,73.6,40.5,100,49.7,8.2,81.0,91.2,86.1
"Buddenhagen, Tad","832 Ord St, Palmyra MI, 49268",10,100,95.0,75.3,62.6,86.9,75.5,89.2,77.2,100,74.7,100,100,58.8,95.2,34.7,84.4,97.3,65.3,86.1,100,100,68.0,74.8,100,100,33.2,83.8
"Silas, Angelette","574 Constanso Way, Edmonton KY, 42129",2,62.3,100,38.3,100,52.5,75.2,91.5,38.9,51.1,100,67.8,44.4,82.8,87.1,56.9,93.3,76.6,100,64.7,69.5,54.8,85.7,55.7,96.5,100,65.4,93.8
"Vaden, Dorrian","241 Sonoma St, Hicksville NY, 11815",4,69.5,69.6,95.8,58.2,46.8,72.5,52.1,86.4,61.8,100,89.9,78.3,65.2,70.4,74.9,91.2,59.0,45.1,91.6,58.5,100,,75.2,42.0,96.8,71.4,79.9
"Helsing, Kamau","634 Keystone Way, Boonville CA, 95415",3,80.7,83.7,78.4,82.2,38.3,78.5,82.6,54.1,22.4,77.2,88.2,90.7,100,100,70.2,50.3,97.0,92.8,82.6,68.0,86.7,100,39.2,14.7,100,89.3,100
"Sego, Marcello","688 Lulu Aly, Huntington WV, 25711",4,84.2,92.2,100,60.7,78.1,57.2,70.4,41.9,68.7,90.9,92.5,32.9,100,57.6,100,100,88.5,100,48.3,86.1,67.3,90.7,100,34.6,100,100,100
"Huerto, Marlissa","28 Otis St, Cameron OH, 43914",6,100,77.0,61.2,49.4,86.2,100,62.0,93.7,100,81.7,100,91.3,48.7,76.3,93.5,80.3,18.0,97.4,41.7,96.8,54.2,67.7,44.6,40.8,100,100,58.2
"Mullenaux, Spiro","407 Doric Aly, Apt. 13, Oldtown ID, 83822",2,88.7,58.3,99.6,94.1,99.0,41.0,62.2,79.4,100,70.2,74.3,40.7,83.8,66.0,93.3,43.4,19.1,61.6,100,81.2,100,67.3,100,39.5,100,82.0,53.8
"Jo, Diseree","555 Cascade Walk, Claryville NY, 12725",3,63.8,57.9,9.8,88.7,50.2,78.5,81.7,88.9,67.3,92.1,85.0,100,72.7,100,100,62.6,58.4,47.0,60.7,40.7,39.5,33.9,92.7,69.4,93.4,96.8,100
"Thuman, Dulce","879 Lancaster Ln, Apt. 78, East Prospect PA, 17317",6,62.6,66.6,55.8,100,64.3,87.7,100,89.3,59.0,55.0,100,73.7,100,40.0,84.3,100,60.2,79.1,46.0,94.6,100,92.1,34.6,73.2,100,100,90.3
"Berenson, Sr., Sinead","967 North Van Horn Ln, Beaufort SC, 29904",1,68.9,42.3,53.2,55.2,73.4,83.5,72.1,70.7,61.6,55.2,100,100,100,77.2,36.1,61.5,32.9,95.8,82.4,22.3,87.8,42.3,52.3,19.0,100,99.0,79.0
"Vannaman, Shamia","749 Shrader St, Apt. 50, Lihue HI, 96766",5,83.7,57.2,75.6,42.9,66.9,71.7,63.2,79.0,67.5,45.9,54.4,70.1,66.2,87.4,73.5,76.8,48.2,55.8,86.6,87.2,95.5,42.6,100,73.8,100,100,83.9
"Knab, IV, Cornel","957 Hwy 101 N On Ramp, Apt. 26, Omaha NE, 68109",6,68.8,56.1,100,45.5,89.2,73.1,100,100,48.6,79.5,51.7,58.6,100,88.2,59.4,93.5,83.8,50.5,100,67.8,49.5,65.3,86.3,72.5,92.0,67.8,82.8
"Dolbow, III, Diesha","778 Alberta St, Emporia VA, 23847",4,48.5,52.7,67.3,97.6,53.1,86.3,27.0,62.4,73.4,66.8,64.9,100,46.6,74.9,95.6,100,94.8,89.9,66.2,60.9,51.7,90.3,87.0,51.2,88.2,85.6,72.4
"Harkavy, Ahren","194 06th Ave, Hubbard NE, 68741",4,83.9,100,69.5,73.4,100,93.1,100,70.8,48.4,100,84.3,58.6,63.6,64.2,87.5,38.9,70.2,72.8,87.5,64.7,74.6,97.0,68.1,,100,94.8,89.1
"Batlis, II, Seanpaul","6 Berry St, Fpo AE, 9582",6,96.9,98.5,64.5,37.2,100,97.0,74.7,51.6,100,100,73.4,71.8,90.6,72.2,90.3,88.5,25.8,61.6,100,99.6,84.4,69.4,62.8,44.7,95.4,82.7,83.4
"Jurisch, Desmond","46 Cassandra Ct, Ireton IA, 51027",1,28.8,42.8,76.1,67.0,52.9,100,72.9,74.5,71.0,63.5,100,79.6,41.1,100,49.9,27.2,44.7,71.1,95.1,69.0,66.6,87.9,66.6,48.2,100,73.8,100
"Berrocal, Arley","870 Morris St, Apt. 3, Rouseville PA, 16344",10,80.4,86.3,63.6,31.5,64.4,72.6,92.3,100,48.6,84.2,75.4,87.0,71.7,63.8,95.7,55.1,47.3,99.3,89.1,100,87.8,41.5,100,100,85.3,89.7,49.3
"Harthcock, IV, Joycelyn","246 Ellsworth St, Lacoochee FL, 33537",1,100,86.0,66.5,68.9,100,100,96.2,75.0,91.2,26.6,93.5,59.1,32.5,88.4,49.8,69.3,73.1,67.1,100,78.7,78.0,100,52.0,46.9,78.8,78.6,56.2
"Wenner, Mysha","540 El Plazuela Way, Butternut WI, 54514",1,100,33.9,93.1,76.6,100,92.6,92.1,100,70.3,98.6,100,69.9,90.0,83.5,100,62.2,100,46.4,63.8,98.1,67.0,73.5,73.1,35.0,86.5,93.9,66.3
"Weissman, Jb","539 Belcher St, Fpo AP, 96607",7,88.4,72.1,100,51.5,37.7,36.6,64.4,78.9,98.1,100,34.9,100,54.8,100,71.6,33.7,100,92.6,31.5,93.0,94.7,75.1,70.6,92.8,100,47.0,50.6
"Prejean, Samatha","4 Catalina St, Clarinda IA, 51632",3,22.7,82.8,100,46.2,100,48.2,75.6,70.6,43.8,69.1,47.0,76.0,100,45.1,98.8,84.2,81.7,71.2,21.0,77.2,95.6,88.3,70.7,71.8,92.5,59.9,100
"Santacruce, Aron","950 Salinas Ave, Brooklyn NY, 11244",9,74.8,51.3,38.7,79.7,71.3,50.2,100,67.7,51.7,81.6,72.5,46.5,55.1,100,100,,100,66.8,100,74.9,96.3,79.0,47.9,76.0,47.8,100,100
"Schuyleman, Jaamal","308 Tocoloma Ave, Biloxi MS, 39535",5,100,75.6,76.4,62.0,56.9,92.4,74.9,78.8,31.5,100,79.0,60.9,37.6,79.2,99.7,82.6,100,69.2,100,71.7,76.4,100,67.1,100,100,79.1,100
"Duwe, Tonita","659 Frederick St, Bartlesville OK, 74005",2,59.9,66.5,65.9,60.8,64.7,65.6,62.9,76.2,58.3,69.3,100,76.6,52.0,78.3,98.2,100,35.6,83.0,52.0,57.8,94.6,52.3,57.1,50.4,67.3,100,66.9
"Renouf, Shikira","29 Gould St, Tiltonsville OH, 43963",5,100,63.9,72.4,54.0,17.9,16.6,,83.9,72.7,28.0,93.3,100,69.0,75.3,64.7,100,100,100,100,94.4,93.3,94.2,34.9,66.9,85.8,76.3,100
"Amodeo, Sr., Bijal","731 Whiting St, Troy MI, 48085",10,58.8,70.2,94.9,100,96.9,72.4,78.5,82.8,99.1,100,96.5,61.1,77.7,78.5,61.2,64.2,100,100,100,78.6,75.1,72.4,53.2,52.4,76.1,100,85.4
"Seifarth, Judi","412 Montague Pl, Alcoa TN, 37701",7,82.1,94.4,95.4,42.8,74.0,52.4,88.8,61.1,100,65.2,100,78.0,53.1,79.9,68.1,91.2,100,99.3,69.0,8.3,62.8,53.0,24.7,81.8,100,72.6,75.7
"Nishioka, Zia","904 Darien Way, Angeles PR, 611",10,100,59.4,100,91.9,100,46.6,44.6,88.3,89.1,80.1,78.2,90.5,52.0,74.7,51.0,55.9,68.9,100,78.7,73.4,81.0,92.0,65.6,53.0,100,83.8,82.1
"Ladewig, Dimitrios","240 Unnamed 038, Palisade NE, 69040",4,42.6,78.6,100,72.3,48.1,100,100,60.1,90.8,54.0,100,90.9,83.5,100,84.8,95.3,90.2,99.1,64.0,100,66.0,79.6,56.1,100,100,100,96.2
"Rozo, Marcelle","134 Lafayette St, Torrance CA, 90504",4,60.9,82.9,51.4,64.7,94.6,100,77.3,88.5,100,35.3,45.5,59.5,100,94.1,63.4,57.9,78.2,56.2,49.8,80.9,97.3,59.7,100,100,86.2,71.5,82.1
"Morioka, Jaritza","200 Delaware St, Atglen PA, 19310",2,84.5,100,98.7,29.4,100,46.9,50.9,51.7,74.2,99.4,100,59.6,74.5,85.8,100,86.0,67.0,90.9,71.2,70.6,34.1,84.0,43.1,39.7,100,65.7,71.6
"Rehder, Analisa","513 Oreilly Ave, Pilgrims Knob VA, 24634",5,100,20.4,48.6,100,100,66.3,20.8,91.8,100,75.8,100,87.2,98.4,66.1,83.7,83.5,69.8,82.6,96.9,62.5,61.2,32.6,81.0,74.4,86.4,74.6,98.7
"Schaupp, Jr., Richele","135 Woodside Ave, Saint David IL, 61563",7,52.9,40.6,80.5,100,68.4,61.7,100,64.4,42.8,96.5,50.1,90.5,68.7,65.5,72.1,100,78.9,92.0,80.5,81.5,59.1,45.7,98.9,100,100,42.1,32.6
"Popovic, Lynnae","962 Scotland St, Apo AE, 9339",5,82.5,53.1,97.6,68.8,72.5,57.8,66.5,74.9,71.7,100,82.2,97.2,74.1,56.8,60.7,74.8,85.6,76.3,85.9,70.9,100,98.5,100,64.1,100,100,100
"Pancheri, Countney","223 Ney St, Athens ME, 4912",4,88.7,75.2,94.3,24.1,31.5,88.5,100,53.8,72.8,93.9,73.1,88.8,82.5,49.3,59.6,60.7,13.8,100,45.5,91.3,100,100,90.3,93.1,100,100,93.3
"Lefler, III, Ashlye","733 Sunnyside Ter, Dutton AL, 35744",9,77.4,59.0,81.6,100,56.4,100,63.7,67.4,67.0,83.6,100,78.6,50.3,39.8,27.7,92.2,81.7,54.1,98.2,63.7,100,97.5,96.1,70.7,85.5,72.2,54.2
"Sharplin, Carsen","38 Habitat Ter, Seattle WA, 98107",6,100,87.1,98.9,55.6,73.6,100,71.0,82.2,92.4,65.2,79.5,69.1,96.7,100,62.4,95.8,79.3,74.7,99.5,100,100,81.9,100,36.4,50.6,46.2,67.1
"Cumblidge, Sr., Lynell","712 Faith St, Breckenridge MI, 48615",8,61.0,93.6,82.3,81.8,83.1,48.3,60.0,83.7,93.1,100,100,100,81.1,63.1,56.5,57.3,96.1,88.6,83.6,75.6,100,82.8,68.7,89.1,100,42.5,67.5
"Silguero, Nivea","3 Merrie Way, Chicago IL, 60629",3,67.2,97.5,61.1,59.8,83.6,85.2,35.2,28.9,93.9,76.9,100,90.5,58.0,72.8,66.1,98.6,69.4,77.8,100,22.7,93.8,83.1,78.0,75.9,53.3,,100
"Pawlik, Alexsander","574 White St, Conrath WI, 54731",8,42.3,78.9,100,98.6,61.7,100,66.7,100,72.1,87.8,100,81.6,100,57.3,100,44.2,67.2,88.6,79.8,45.3,84.2,100,80.5,40.0,77.5,95.4,100
"Isaksen, Rayshaun","930 Scotia Ave, Blacksburg VA, 24062",2,93.9,37.9,25.1,66.4,93.1,69.3,77.4,70.1,100,67.6,48.0,95.0,86.4,94.2,93.0,48.0,77.7,100,93.4,68.5,48.0,50.3,85.6,79.3,64.3,87.9,81.5
"Masuyama, Dalyn","463 Cowell Pl, Lohn TX, 76852",5,52.4,64.6,33.6,58.0,80.9,83.2,51.0,80.7,71.5,80.2,100,56.1,100,100,91.5,100,68.8,89.7,54.2,87.0,69.3,100,100,50.6,,77.1,49.4
"Milham, Derren","464 Ravenwood Dr, Apt. 97, Memphis TN, 38145",4,92.9,72.0,100,96.3,79.9,76.6,76.5,94.3,83.4,,76.1,92.6,100,100,89.0,89.1,61.1,100,92.8,88.5,91.5,68.5,65.1,70.0,81.7,98.3,100
"Eikenberry, Jushua","141 Seal Rock Dr, Rome GA, 30165",1,51.1,100,100,60.0,50.3,100,71.6,84.5,81.1,100,100,86.5,100,91.1,69.0,62.3,91.0,100,90.6,53.2,71.0,86.0,100,72.3,100,100,100
"Dolinsky, Lamon","956 Edgar Ave, Hillsboro WV, 24946",9,72.3,100,78.0,75.1,48.3,72.6,100,47.8,43.4,100,93.5,100,92.2,59.6,62.7,59.3,100,95.1,86.2,80.3,100,92.9,36.4,39.3,83.9,38.2,87.4
"Klay, Calvina","667 Clifford Ter, Wantagh NY, 11793",1,92.0,37.5,100,100,93.9,82.7,59.3,94.9,51.3,63.7,100,100,100,100,66.3,99.3,79.8,87.3,100,100,90.4,56.9,54.4,99.6,93.7,94.7,86.3
"Gooding, II, Mekos","426 Dr Carlton B Goodlett Pl, Superior WY, 82945",3,50.0,59.6,85.6,83.7,100,100,16.7,100,100,88.2,83.7,70.5,,61.3,100,100,24.7,20.9,100,19.2,100,92.4,32.8,71.2,79.6,83.5,62.8
"Burtell, Sr., Everett","808 Belle Ave, Deer Park WA, 99006",7,68.2,63.6,74.1,52.6,99.9,81.8,45.9,100,80.3,69.6,91.8,58.0,100,48.9,100,58.2,39.1,78.5,90.6,91.8,85.2,72.0,23.9,63.6,68.4,100,95.9
"Maxham, Myria","376 Rico Way, Stanton MO, 63079",3,87.2,51.8,94.3,63.5,100,82.4,100,98.1,90.8,68.0,100,100,100,69.5,67.8,86.3,83.8,100,87.2,82.6,64.4,96.3,100,39.8,58.2,61.8,100
"Gwilt, Lotoya","583 Graham St, Santa Paula CA, 93061",6,100,72.8,81.1,96.6,49.3,96.6,67.6,100,89.4,80.7,17.8,63.5,100,75.6,70.8,99.6,100,99.0,59.4,100,36.9,62.0,73.8,56.4,75.2,48.7,75.9
"Lueckenbach, Cristela","627 Unnamed 152, North East MD, 21901",5,87.4,72.8,75.1,86.6,58.1,68.4,62.4,77.4,36.3,62.9,86.4,57.9,80.7,76.7,26.3,100,100,100,78.4,68.8,29.9,34.2,53.6,85.5,86.2,100,100
"Brumer, Izetta","407 01st St, Apt. 97, Ludlow PA, 16333",3,100,33.0,72.3,27.1,67.4,89.7,100,100,20.6,61.1,100,69.0,83.5,97.3,100,42.7,99.7,44.4,73.6,82.5,93.8,74.0,76.6,85.8,100,89.1,77.7
"Scolaro, Marycatherine","464 Legion Ct, Dallas TX, 75228",7,77.9,99.7,96.6,51.4,51.1,73.4,27.4,63.0,57.9,50.6,74.3,71.6,96.8,100,100,83.0,60.4,54.6,90.0,84.1,56.3,100,53.1,72.1,95.1,100,100
"Michelet, Claiborne","446 Unnamed 097, Pennsboro WV, 26415",8,100,84.4,100,100,100,83.8,100,100,64.4,89.3,37.3,34.2,69.4,88.1,100,76.7,96.1,56.6,63.1,74.9,91.0,50.2,93.3,36.5,100,69.5,100
"Furlotte, Sweta","5 Rivera St, Doylestown WI, 53928",10,55.7,64.4,70.2,75.5,34.0,71.1,85.9,39.4,61.8,75.8,96.2,74.4,100,53.3,85.8,100,18.6,43.6,71.2,78.3,67.4,65.8,50.9,73.3,88.5,90.8,44.3
"Dornellas, Tria","925 Alana Way, Pilgrims Knob VA, 24634",2,36.0,84.1,98.5,86.4,82.0,73.3,59.3,82.0,90.9,65.7,62.5,100,100,97.8,64.2,73.1,86.5,62.8,72.7,100,99.6,62.3,79.3,76.0,93.2,100,87.8
"Sylvian, Camilo","705 Ils Ln, Ithaca NY, 14851",2,83.2,92.8,76.4,60.0,68.6,100,39.9,46.4,85.5,100,95.8,95.8,56.9,32.3,78.0,100,100,83.5,100,90.6,93.6,100,82.1,41.3,100,100,89.2
"Nevilles, IV, Deray","475 Bartlett St, Rutherford College NC, 28671",6,73.5,56.8,100,90.6,69.0,78.3,41.7,45.0,52.6,54.1,100,46.2,100,72.3,100,78.8,78.5,36.7,47.3,100,55.3,61.1,54.9,62.4,76.5,88.6,48.2
"Catmull, Bennett","258 Dorland St, Apt. 37, Wolford ND, 58385",5,68.7,100,15.9,60.7,76.9,41.8,100,84.0,87.6,100,42.4,100,88.4,92.1,59.8,75.8,49.3,75.4,52.0,77.4,78.0,100,93.3,71.2,100,91.1,87.6
"Sanghvi, Odyssey","897 Wilde Ave, Terre Haute IN, 47801",2,94.2,71.9,75.5,100,62.0,48.7,68.3,51.5,92.3,100,72.8,67.3,100,74.2,58.5,85.1,100,42.7,100,64.3,66.2,100,54.3,65.6,100,81.4,96.3
"Lazurek, Chakita","840 Pasadena St, Tulsa OK, 74183",7,65.4,100,31.6,91.9,37.5,100,100,46.7,85.7,53.7,67.9,83.3,65.9,85.8,100,60.5,59.2,99.6,100,72.1,77.7,28.6,64.2,47.9,90.9,100,100
"Hoots, Alicia","106 Appleton St, Savannah NY, 13146",3,95.3,68.4,88.8,42.6,45.6,73.1,65.4,55.6,76.6,53.9,100,63.1,86.4,81.4,90.1,49.6,86.5,95.3,91.5,100,62.2,100,100,92.8,100,70.3,57.4
"Richie, Breaunna","607 Flower St, Cass WV, 24927",5,36.0,100,100,100,100,100,100,44.2,98.3,51.7,100,84.0,100,60.7,74.4,83.8,100,68.9,95.4,87.5,100,100,72.5,68.8,70.4,76.0,73.6
"Langdale, Elya","739 Mandalay Ln, Eastpointe MI, 48021",2,75.8,41.8,93.9,84.6,100,82.7,99.3,100,73.0,72.3,98.1,91.1,82.4,70.1,48.2,66.6,77.6,98.0,86.8,100,83.4,63.8,22.9,81.6,78.3,100,67.1
"Ziman, Yakov","193 Unnamed 150, Fort Mc Coy FL, 32134",2,100,100,,53.1,65.6,57.4,79.5,96.2,100,100,88.8,75.7,75.3,94.1,96.7,100,82.4,100,100,81.5,70.0,70.5,100,97.5,100,50.5,79.9
"Lonneman, Jr., Denisha","169 Pacheco St, Ackerman MS, 39735",7,96.9,74.4,100,100,67.4,68.1,70.9,55.4,100,34.1,69.5,81.6,88.3,92.1,56.4,24.0,77.6,66.7,68.0,39.5,83.7,82.3,95.3,100,82.7,56.5,96.8
"Arbogust, Mber","556 Sloat Blvd, Carmichaels PA, 15320",4,59.7,9.3,96.2,100,76.8,51.3,85.8,53.9,65.5,39.8,,88.6,56.5,66.1,67.8,72.5,91.0,96.3,100,79.2,77.4,100,6.9,51.3,100,44.7,49.5
"Grossett, II, Virgen","583 Amherst St, York PA, 17403",5,66.4,53.6,57.7,55.9,34.1,68.6,79.9,70.0,78.0,96.8,66.9,65.6,,100,47.6,80.9,67.6,53.8,77.2,65.2,100,100,60.0,87.6,69.4,100,63.5
"Woznick, Ayanna","307 Unnamed 144, Spring Hill FL, 34608",5,58.9,56.4,60.2,90.1,77.0,64.0,100,100,92.9,85.1,77.5,80.8,100,86.6,83.3,84.2,95.5,49.9,61.1,65.0,63.2,54.5,84.2,61.5,56.8,54.6,74.8
"Cluster, Raffinee","659 Double Rock St, Strawberry Valley CA, 95981",8,60.5,100,76.3,70.7,76.5,84.0,77.5,96.3,97.5,78.3,64.9,56.4,42.1,44.2,62.5,63.6,71.5,100,74.2,49.6,100,57.6,57.0,70.0,47.8,79.6,80.3
"Stvictor, Israel","964 Polaris Way, Sciota IL, 61475",7,68.6,94.2,100,74.5,100,75.1,62.0,49.4,58.1,100,80.8,100,79.9,51.4,67.0,64.8,58.0,50.5,56.3,91.6,95.1,97.9,38.4,100,41.8,100,96.6
"Kapa, Joya","575 Unnamed 087, Belknap IL, 62908",5,35.9,56.3,100,67.1,59.9,79.4,93.6,97.2,22.3,88.2,72.2,55.2,91.4,100,80.1,90.4,52.9,68.6,100,93.7,99.1,71.6,91.8,100,81.2,51.9,63.1
"Sikorski, English","887 Stoneman St, Huntington WV, 25702",4,81.4,49.9,40.4,65.4,73.8,86.2,56.0,60.5,53.6,100,58.0,33.6,51.0,94.6,92.5,100,100,92.4,54.8,100,64.8,78.1,25.2,61.2,73.7,73.3,59.5
"Gammage, Jr., Levi","288 Halleck St, Drayton ND, 58225",9,80.1,76.6,54.6,83.0,57.4,51.8,90.8,92.4,77.9,74.9,96.2,99.6,62.3,100,72.9,100,71.3,38.1,23.4,81.9,71.0,100,50.1,80.8,99.4,70.5,100
"Klayman, III, Arch","1 Seneca Ave, Fpo AP, 96683",9,96.2,63.8,67.5,66.3,74.3,44.1,56.4,60.5,96.6,66.9,86.0,100,100,100,100,65.1,75.6,59.7,100,100,71.2,86.9,73.0,80.5,94.1,61.8,52.7
"Fabry, Chancellor","866 18th Ave, Duncanville TX, 75138",3,56.2,47.8,65.3,68.8,86.4,88.0,50.0,36.7,78.4,48.5,100,74.3,100,90.8,77.5,86.4,70.5,90.1,24.0,34.7,54.6,75.6,57.4,73.1,89.1,100,80.5
"Katan, Esq., Sherre","144 Wisser Ct, Cedarville NJ, 8311",6,69.7,80.2,69.7,59.3,100,24.9,79.3,80.3,78.9,99.7,91.8,90.7,69.3,75.0,67.1,100,100,68.1,82.5,72.6,100,65.1,54.4,100,100,59.4,46.3
"Hugar, Kristien","757 San Bruno Av Off Ramp, Decatur IL, 62525",10,67.2,14.5,63.4,85.9,54.4,51.5,59.7,49.5,96.5,85.3,75.3,95.8,49.3,100,66.4,73.0,95.0,83.7,98.6,100,93.5,57.0,-7.0,100,72.2,100,63.5
"Zecher, III, Davis","784 Heron St, Phoenix AZ, 85070",10,62.6,53.8,100,49.8,43.9,100,81.0,100,46.8,76.9,62.9,65.0,70.6,69.5,69.3,100,35.4,72.9,49.2,94.2,68.3,94.7,95.1,99.5,43.1,100,85.9
"Worstel, Franky","476 Fredson Ct, Niota TN, 37826",6,64.2,37.1,73.0,100,100,100,78.9,100,62.6,100,100,65.1,91.3,85.8,58.6,98.2,67.2,73.2,91.9,97.8,94.6,39.5,50.3,49.3,28.6,95.7,49.3
"Braman, Jedd","479 Bella Vista Way, Apt. 86, Lafayette IN, 47901",8,67.3,65.0,91.2,59.3,61.9,62.4,30.6,79.4,59.7,70.1,67.1,63.6,100,84.6,89.0,99.1,34.6,76.3,75.2,100,51.9,80.4,90.7,65.1,100,100,99.2
"Selser, Justine","564 Jose Sarria Ct, Birmingham AL, 35255",3,84.2,97.0,67.7,65.7,41.3,88.1,91.8,66.2,93.7,76.0,67.4,57.4,45.2,99.5,100,75.1,73.2,79.6,43.9,55.0,65.8,74.8,100,,100,79.7,100
"Gosche, Carlena","480 Marine Dr, Hillsborough NH, 3244",7,99.0,55.2,28.6,97.3,83.6,73.4,68.5,92.4,99.5,76.7,78.6,78.2,70.7,64.0,62.8,93.9,92.4,75.3,10.3,84.9,62.0,56.9,78.9,58.1,100,100,100
"Henaire, Ashish","522 Morrell Pl, Young America MN, 55562",1,83.5,56.8,38.8,54.8,64.3,100,100,65.1,52.1,100,63.5,84.1,98.1,71.5,47.1,75.8,59.4,66.8,100,73.0,49.9,77.0,66.8,81.9,91.6,100,100
"Navarro, II, Sable","902 Bernard St, Mc Cool MS, 39108",10,33.6,44.5,100,99.6,90.2,73.2,51.5,100,74.4,100,94.2,84.3,67.7,100,69.0,78.6,57.4,100,7.4,100,93.7,87.9,74.2,62.5,1.2,55.4,86.3
"Stader, Obryan","83 Unnamed 146, Cape Porpoise ME, 4014",7,59.8,65.5,64.5,61.9,77.0,92.2,100,40.0,100,72.1,87.2,100,89.4,59.3,96.7,85.3,70.6,57.7,33.6,70.9,70.9,63.0,86.6,60.5,91.2,76.8,90.0
"Espana, Kelii","875 Forest Rd, Meally KY, 41234",5,44.9,44.8,100,65.2,63.8,91.0,78.4,56.8,67.0,72.2,61.9,87.0,95.5,47.2,99.6,100,64.6,100,,96.8,66.5,100,45.3,80.8,74.6,73.0,67.5
"Jacquem, Donovon","944 Castle Manor Ave, Sterling Forest NY, 10979",9,73.6,82.9,74.2,56.9,32.9,32.4,100,76.2,38.2,94.5,26.7,89.7,89.2,100,97.0,98.9,87.2,75.6,86.8,14.2,98.5,84.1,30.8,68.1,56.5,81.1,24.9
"Reints, Caleen","348 Lake St, Pomeroy OH, 45769",4,56.8,68.4,60.9,59.8,74.4,72.1,84.2,69.3,85.2,77.0,71.3,63.1,100,91.0,100,100,35.8,92.2,74.6,100,49.5,40.1,84.0,43.8,72.4,73.1,43.6
"Pecor, Channin","361 Unnamed 077, Apt. 27, New Haven CT, 6534",7,92.5,45.4,69.2,79.2,85.9,88.1,79.1,100,72.5,79.1,68.1,78.6,65.6,55.7,49.5,41.8,100,100,86.6,78.5,82.0,100,63.4,87.6,77.6,79.8,92.5
"Samuel, Esq., Kaely","544 Pelican Cove Ter, Franklin NC, 28744",2,34.9,100,42.0,98.3,86.6,80.8,61.5,85.6,81.8,71.4,100,64.3,60.5,76.5,75.9,74.0,27.3,100,76.3,67.2,76.9,100,85.3,99.0,43.3,26.8,77.4
"Duckey, Jr., Andrews","528 Castenada Ave, Apt. 53, Yatahey NM, 87375",6,43.5,57.9,100,100,100,98.2,59.0,100,100,58.0,97.4,49.2,100,100,73.8,59.6,100,83.8,69.2,83.7,39.8,100,75.7,53.7,92.5,100,100
"Seurer, II, Sherna","206 Mission Bay Blvd North, Apt. 99, Pittsfield VT, 5762",6,71.2,42.8,60.7,95.4,84.1,64.7,77.6,100,64.1,75.2,57.5,24.4,37.0,84.2,61.6,73.5,100,97.8,60.5,100,100,91.5,19.5,85.6,74.9,83.7,100
"Vizcarrondo, Sr., Kandus","751 Dirk Dirksen Pl, Drums PA, 18222",8,79.3,61.0,79.2,67.8,88.7,100,95.4,70.5,100,84.7,77.5,82.2,85.9,100,76.3,70.3,55.3,56.8,34.1,100,100,39.9,80.7,100,47.2,74.8,41.7
"Rhynes, Calvin","481 San Bruno Ave, Saint Petersburg FL, 33747",7,88.4,100,70.0,94.2,72.7,81.1,100,100,22.7,63.7,74.4,29.5,60.6,100,69.9,100,100,100,100,100,59.2,65.6,100,75.1,33.3,76.7,77.2
"Locklear, Hillarie","396 Second Dr, Apt. 69, Loiza PR, 772",3,83.0,55.4,61.1,81.4,19.0,69.0,100,62.4,33.6,34.5,100,96.0,66.3,50.7,78.7,81.9,80.9,100,64.7,78.9,68.8,100,100,47.0,91.7,79.9,85.7
